日期,交易类型,股票名称,最后持有股票数量,交易股票数量,交易价格,交易金额,交易成本,交易前股票数量,交易后股票数量,DCF价值,行业,估值比%,价值比描述,估值描述,价值过滤器,超买超卖过滤器,动量过滤器,价格成交量过滤器,满足维度数,actionDesc,收盘价,成交量,RSI指标,MACD DIF,MACD DEA,MACD HIST,boll_upper,boll_middle,量能倍数,行业RSI极端超买阈值,行业RSI极端超卖阈值,行业RSI超买阈值,行业RSI超卖阈值
2024-05-20,buy,江西铜业(600362),55200,0,0.0,0.0,0.0,,,50.0,有色金属,0.57,价值比0.57,"极度低估0.54, 建议加仓比例:50%",Y,Y,Y,N,3/4,买入信号: 价值过滤器 + 3个买入维度,25.67,1934154.0,66.47,2.14,1.75,0.4,29.72,22.35,1.28,75.82,45.34,73.89,47.38
2024-05-27,buy,神火股份(000933),56900,0,0.0,0.0,0.0,,,36.0,有色金属,0.67,价值比0.67,"极度低估0.59, 建议加仓比例:50%",Y,Y,Y,N,3/4,买入信号: 价值过滤器 + 3个买入维度,23.13,1207879.0,62.27,1.78,1.61,0.18,25.76,20.36,0.78,75.82,45.34,73.89,47.38
2024-05-27,buy,云铝股份(000807),46100,0,0.0,0.0,0.0,,,25.0,有色金属,0.58,价值比0.58,"明显低估0.69, 建议加仓比例:20%",Y,Y,Y,N,3/4,买入信号: 价值过滤器 + 3个买入维度,14.45,2395952.0,56.92,0.54,0.37,0.17,16.4,13.11,0.95,75.82,45.34,73.89,47.38
2024-05-27,buy,江西铜业(600362),55200,0,0.0,0.0,0.0,,,50.0,有色金属,0.52,价值比0.52,"极度低估0.54, 建议加仓比例:50%",Y,Y,Y,N,3/4,买入信号: 价值过滤器 + 3个买入维度,25.49,1249823.0,65.24,2.04,1.81,0.24,29.92,22.73,0.79,75.82,45.34,73.89,47.38
2024-06-03,buy,神火股份(000933),56900,0,0.0,0.0,0.0,,,36.0,有色金属,0.63,价值比0.63,"极度低估0.59, 建议加仓比例:50%",Y,Y,Y,N,3/4,买入信号: 价值过滤器 + 3个买入维度,22.97,1148515.0,61.48,1.73,1.63,0.1,25.96,20.65,0.86,75.82,45.34,73.89,47.38
2024-06-03,buy,云铝股份(000807),46100,0,0.0,0.0,0.0,,,25.0,有色金属,0.58,价值比0.58,"明显低估0.69, 建议加仓比例:20%",Y,Y,Y,N,3/4,买入信号: 价值过滤器 + 3个买入维度,14.95,2734553.0,59.95,0.57,0.41,0.16,16.59,13.27,1.05,75.82,45.34,73.89,47.38
2024-06-03,buy,江西铜业(600362),55200,0,0.0,0.0,0.0,,,50.0,有色金属,0.5,价值比0.50,"极度低估0.54, 建议加仓比例:50%",Y,Y,Y,N,3/4,买入信号: 价值过滤器 + 3个买入维度,24.89,961731.0,61.19,1.89,1.82,0.07,29.98,23.07,0.67,75.82,45.34,73.89,47.38
2024-06-11,buy,神火股份(000933),56900,0,0.0,0.0,0.0,,,36.0,有色金属,0.63,价值比0.63,"极度低估0.59, 建议加仓比例:50%",Y,Y,Y,N,3/4,买入信号: 价值过滤器 + 3个买入维度,22.72,662286.0,60.19,1.65,1.63,0.02,25.88,20.99,0.56,75.82,45.34,73.89,47.38
2024-06-11,buy,云铝股份(000807),46100,0,0.0,0.0,0.0,,,25.0,有色金属,0.58,价值比0.58,"明显低估0.69, 建议加仓比例:20%",Y,Y,Y,N,3/4,买入信号: 价值过滤器 + 3个买入维度,14.34,2461995.0,54.88,0.54,0.43,0.1,16.56,13.46,0.92,75.82,45.34,73.89,47.38
2024-06-17,buy,云铝股份(000807),46100,0,0.0,0.0,0.0,,,25.0,有色金属,0.56,价值比0.56,"明显低估0.69, 建议加仓比例:20%",Y,Y,Y,N,3/4,买入信号: 价值过滤器 + 3个买入维度,13.48,2000912.0,48.64,0.44,0.43,0.0,16.49,13.57,0.83,75.82,45.34,73.89,47.38
